0	2	6	0	0
1	4	6	0	0
2	8	6	0	0
3	16	6	0	0
4	32	6	0	0
5	64	6	0	0
6	128	6	0	0
7	256	6	0	0
0	2	6	0	0
1	4	6	0	0
2	8	6	0	0
3	16	6	0	0
4	32	6	0	0
5	64	6	0	0
6	128	6	0	0
7	256	6	0	0
0	2	6	0	0
1	4	6	0	0
2	8	6	0	0
3	16	6	0	0
4	32	6	0	0
5	64	6	0	0
6	128	6	0	0
7	256	6	0	0
0	2	6	0	0
1	4	6	0	0
2	8	6	0	0
3	16	6	0	0
4	32	6	0	0
5	64	6	0	0
6	128	6	0	0
7	256	6	0	0
0	2	6	0	0
1	4	6	0	0
2	8	6	0	0
3	16	6	0	0
4	32	6	0	0
5	64	6	0	0
6	128	6	0	0
7	256	6	0	0
0	2	6	0	0
1	4	6	0	0
2	8	6	0	0
3	16	6	0	0
4	32	6	0	0
5	64	6	0	0
6	128	6	0	0
7	256	6	0	0
0	2	6	0	0
1	4	6	0	0
2	8	6	0	0
3	16	6	0	0
4	32	6	0	0
5	64	6	0	0
6	128	6	0	0
7	256	6	0	0
0	2	6	0	0
1	4	6	0	0
2	8	6	0	0
3	16	6	0	0
4	32	6	0	0
5	64	6	0	0
6	128	6	0	0
7	256	6	0	0
0	2	6	0	0
1	4	6	0	0
2	8	6	0	0
3	16	6	0	0
4	32	6	0	0
5	64	6	0	0
6	128	6	0	0
7	256	6	0	0
0	2	6	49	90
1	4	6	756	154
2	8	6	307	133
3	16	6	157	117
4	32	6	45	88
5	64	6	24	73
6	128	6	13	59
7	256	6	6	41
0	2	6	49	90
1	4	6	756	154
2	8	6	307	133
3	16	6	157	117
4	32	6	45	88
5	64	6	24	73
6	128	6	13	59
7	256	6	6	41
0	2	6	49	90
1	4	6	756	154
2	8	6	307	133
3	16	6	157	117
4	32	6	45	88
5	64	6	24	73
6	128	6	13	59
7	256	6	6	41
0	2	6	49	90
1	4	6	756	154
2	8	6	307	133
3	16	6	157	117
4	32	6	45	88
5	64	6	24	73
6	128	6	13	59
7	256	6	6	41
0	2	6	49	90
1	4	6	756	154
2	8	6	307	133
3	16	6	157	117
4	32	6	45	88
5	64	6	24	73
6	128	6	13	59
7	256	6	6	41
0	2	6	49	90
1	4	6	756	154
2	8	6	307	133
3	16	6	157	117
4	32	6	45	88
5	64	6	24	73
6	128	6	13	59
7	256	6	6	41
0	2	6	49	90
1	4	6	756	154
2	8	6	307	133
3	16	6	157	117
4	32	6	45	88
5	64	6	24	73
6	128	6	13	59
7	256	6	6	41
0	2	6	49	90
1	4	6	756	154
2	8	6	307	133
3	16	6	157	117
4	32	6	45	88
5	64	6	24	73
6	128	6	13	59
7	256	6	6	41
0	2	6	49	90
1	4	6	756	154
2	8	6	307	133
3	16	6	157	117
4	32	6	45	88
5	64	6	24	73
6	128	6	13	59
7	256	6	6	41
0	2	6	49	90
1	4	6	756	154
2	8	6	307	133
3	16	6	157	117
4	32	6	45	88
5	64	6	24	73
6	128	6	13	59
7	256	6	6	41
0	2	6	49	90
1	4	6	756	154
2	8	6	307	133
3	16	6	157	117
4	32	6	45	88
5	64	6	24	73
6	128	6	13	59
7	256	6	6	41
0	2	6	49	90
1	4	6	756	154
2	8	6	307	133
3	16	6	157	117
4	32	6	45	88
5	64	6	24	73
6	128	6	13	59
7	256	6	6	41
0	2	6	49	90
1	4	6	756	154
2	8	6	307	133
3	16	6	157	117
4	32	6	45	88
5	64	6	24	73
6	128	6	13	59
7	256	6	6	41
0	2	6	49	90
1	4	6	756	154
2	8	6	307	133
3	16	6	157	117
4	32	6	45	88
5	64	6	24	73
6	128	6	13	59
7	256	6	6	41
0	2	6	49	90
1	4	6	756	154
2	8	6	307	133
3	16	6	157	117
4	32	6	45	88
5	64	6	24	73
6	128	6	13	59
7	256	6	6	41
0	2	6	49	90
1	4	6	756	154
2	8	6	307	133
3	16	6	157	117
4	32	6	45	88
5	64	6	24	73
6	128	6	13	59
7	256	6	6	41
0	2	6	49	90
1	4	6	756	154
2	8	6	307	133
3	16	6	157	117
4	32	6	45	88
5	64	6	24	73
6	128	6	13	59
7	256	6	6	41
0	2	6	20	69
1	4	6	1321	167
2	8	6	194	122
